f,u_in,u_out,k,db
10,19.14,1688,88.1922675026123,38.9086101769762
20,18.6,1730,93.010752688172,39.3706631782176
50,18.97,1746,92.0400632577755,39.2795381696178
100,19.06,1755,92.0776495278069,39.2830844899907
200,19.14,1759,91.901776384535,39.2664781203327
500,19.2,1763,91.8229166666667,39.2590216719154
1000,19.22,1761,91.6233090530697,39.240119452695
2000,19.29,1754,90.9279419388284,39.1739472277227
5000,19.37,1673,86.3706763035622,38.7273264048657
10000,19.55,1460,74.6803069053708,37.464121881051
20000,19.93,1042,52.2829904666332,34.3672084052604
50000,20.23,494,24.4191794364805,27.7546213230568
